ENDERECO_ID	lat	long
SPADD_0007	-20.8938	-51.383669
SPBRT_0007	-22.274944	-48.120778
PERIF_0005	-8.660222	-35.156111
SPPAA_0109	-22.694417	-47.622306
BAAAC_0151	-11.348736	-38.966826
SPJGU_0015	-22.708997	-47.008497
SEABC_0003	-10.737736	-37.361336
PBJPA_0097	-7.168472	-34.854778
RJRJO_0504	-26	-46
RJRJO_0510	-22.946944	-43.182778
MGBHE_0251	-19.916833	-43.933694
DFBSA_0541	-15.785778	-47.870528
SPALAM0003	-23.550306	-47.898306
MGLAV_0018	-21.222222	-44.987
PBJPA_0210	-7.114833	-34.823972
PBPMU_0002	-7.53725	-34.830556
PBSRI_0010	-7.147389	-34.973611
MSACL_0001	-20.443	-52.877444
MSAID_0001	-22.185389	-52.719611
MSAEC_0001	-22.166083	-53.784889
CEAAU_0002	-2.8875	-40.119472
CEACR_0003	-6.088639	-39.454833
CEAIB_0001	-6.567722	-40.122
CEAAB_0003	-4.372139	-38.806806
ESAUE_0001	-18.569778	-40.985222
ESAHE_0003	-20.827861	-40.694917
CEFLA_0049	-3.740278	-38.526111
GOABGO0001	-16.760139	-49.437556
GOABI_0001	-16.19575	-48.706694
GOABI_0003	-16.163028	-48.633056
GOABI_0002	-16.228472	-48.752639
GOAEU_0003	-17.331167	-50.304222
GOAEU_0001	-17.396917	-50.374583
GOACG_0018	-16.789444	-49.222778
GOACG_0007	-16.8025	-49.237889
GOACG_0008	-16.798667	-49.282639
GOACG_0013	-16.829528	-49.227833
GOACG_0002	-16.821556	-49.250833
GOACG_0005	-16.76975	-49.318556
GOACG_0006	-16.805167	-49.329556
GOACG_0004	-16.743472	-49.237222
GOACG_0003	-16.774083	-49.339
GOACG_0001	-16.756806	-49.25975
GOACG_0014	-16.768083	-49.237611
GOACG_0012	-16.817972	-49.364694
GOACG_0015	-16.751583	-49.300972
GOAGR_0001	-15.9025	-52.247278
MAACD_0003	-4.950278	-47.474167
MAACD_0001	-4.950833	-47.494306
MAACD_0004	-4.943083	-47.504722
MGAET_0001	-19.148278	-45.459667
MGACN_0001	-19.09125	-42.563861
MGALS_0001	-20.872778	-46.381944
MGANA_0001	-22.046306	-46.566556
MGANA_0002	-22.075	-46.585833
MGARI_0002	-18.628611	-48.198889
MGACS_0001	-20.29425	-45.5415
MGADO_0001	-21.360944	-46.1495
BAARG_0001	-12.390778	-38.784944
BAAVS_0003	-10.57	-40.272306
BAAAC_0003	-11.338917	-38.966028
BAAAC_0001	-11.349278	-38.966389
ACACLD0001	-10.075556	-67.055611
ACACLD0006	-10.07563	-67.05555
ACBJRI0001	-9.830056	-67.95275
ACCZU_0001	-7.63225	-72.670139
ACCZU_0003	-7.62125	-72.669944
ACCZU_0002	-7.605194	-72.683583
ACRBO_0008	-10.014611	-67.782972
ACRBO_0012	-9.980556	-67.842361
ACRBO_0005	-9.865583	-67.914111
ACRBO_0003	-9.937444	-67.82775
ACRBO_0011	-10.037	-67.798472
ACRBO_0006	-9.998139	-67.808083
ACRBO_0013	-9.95275	-67.798111
ACRBO_0004	-9.960444	-67.852889
ACRBO_0010	-9.945028	-67.880581
ACRBO_0119	-9.98955	-67.82638
ACRBO_0120	-9.98056	-67.8423
ACRBO_0122	-9.960778	-67.852222
ACRBO_0123	-9.95847	-67.83797
ACRBO_0114	-9.95276	-67.7981
ACRBO_0009	-9.989556	-67.826389
ALAIR_0003	-9.745444	-36.665667
PITSA_0010	-5.061139	-42.819722
PRAAT_0001	-23.305028	-50.312028
PRADP_0017	-24.692471	-48.940004
PRAOA_0002	-23.871972	-53.9025
PRAND_0001	-23.05516	-50.221994
PRASD_0002	-24.392944	-53.509278
PRASD_0001	-24.405851	-53.513635
PRATG_0003	-23.22475	-51.667028
PRATG_0004	-23.253944	-51.65175
PRATG_0002	-23.235157	-51.678675
PRATG_0001	-23.236354	-51.661455
PRCTA_0025	-25.441168	-49.285006
PIABA_0002	-5.893083	-42.64725
SPSNE_0007	-23.633222	-46.513556
SPSPO_0354	-23.547306	-46.64375
SPSOC_0031	-23.509111	-47.426611
GOGNA_0127	-16.641833	-49.182833
SPADA_0001	-22.847417	-45.230222
SPARC_0006	-21.200167	-50.552139
SPARC_0011	-21.206389	-50.450556
SPARC_0008	-21.169536	-50.463289
SPARC_0021	-21.184306	-50.430472
SPARC_0009	-21.074056	-50.464028
SPARC_0007	-21.149361	-50.43675
SPARC_0020	-21.211556	-50.439972
SPARC_0019	-21.21816	-50.41094
SPARC_0003	-21.226056	-50.466333
SPARC_0005	-21.229611	-50.437278
SPAAS_0004	-22.368667	-47.365861
SPAAS_0006	-22.336722	-47.377917
SPARL_0001	-22.667392	-48.666139
SPASI_0002	-22.630917	-50.519667
SPASI_0005	-22.631111	-50.397222
SPASI_0008	-22.651056	-50.399917
SPASI_0004	-22.665278	-50.421306
SPAIA_0012	-23.130333	-46.568278
SPAIA_0004	-23.116333	-46.592444
SPAVI_0002	-22.161444	-49.265667
PEABU_0001	-7.902222	-34.905
PEAFI_0003	-7.757528	-37.632806
PEAFI_0002	-7.741389	-37.647222
PEAGB_0002	-9.116389	-37.116111
PEACV_0002	-8.427806	-37.015556
PAABT_0003	-1.713889	-48.880556
PAABT_0004	-1.731	-48.882083
PAABT_0005	-1.732361	-48.857889
PAAIU_0012	-1.395389	-48.418361
RNMRO_0003	-5.161944	-37.355861
ROAFT_0001	-11.928389	-61.991056
ROADW_0001	-11.349	-62.285056
RSAUD_0002	-29.711227	-53.255043
RSAUD_0001	-29.64331	-53.255208
RSAEM_0001	-27.656646	-54.763557
RJRJO_0991	-23.012306	-43.464556
RNACI_0002	-6.4325	-36.640278
RNACU_0002	-5.518333	-37.116667
RNACU_0001	-5.579444	-36.915833
SCFNS_0070	-27.647103	-48.520217
SCFNS_0061	-27.606556	-48.577389
SCFNS_0026	-27.59067	-48.561194
SCADZ_0001	-26.564278	-52.33125
SCABVT0001	-27.43308	-51.898574
SCAHT_0001	-26.530833	-53.333083
SCBQE_0002	-27.144852	-48.89533
SPAAI_0001	-22.058611	-46.980056
TOAGW_0001	-12.928333	-49.829583
TOAGN_0001	-5.651031	-48.109458
TOAIO_0001	-5.47	-47.888861
PBABW_0001	-7.517778	-37.635278
PBAHD_0001	-7.325833	-34.946667
PBAHD_0002	-7.433056	-34.911694
PBCPX_0001	-7.4975	-34.983611
PBCPX_0003	-7.513333	-34.915306
MTABO_0001	-14.050389	-52.162028
PERCE_0018	-7.982778	-34.9125
PEPLS_0016	-8.675167	-35.589917
PERCE_0017	-8.019167	-34.894722
PERCE_0045	-8.039167	-34.900556
ACSWD_0001	-10.147361	-67.741778
BAABR_0001	-13.252194	-41.66675
BAABR_0004	-13.252611	-41.666917
CEFLA_0141	-3.746167	-38.509806
RJRJO_0476	-22.99925	-43.3485
RSADR_0002	-30.103333	-51.762778
SCASFS0002	-26.883161	-52.857019
MSAEC_0002	-22.088528	-54.051444
CEACP_0001	-4.220306	-38.701111
ESAFC_0001	-20.082	-41.123889
ESAFH_0001	-20.64	-40.754167
ESACZ_0004	-19.937389	-40.138944
MAAAR_0001	-3.455	-44.780833
MGABM_0001	-20.295917	-42.470056
BAARG_0003	-12.4	-38.75975
BAARG_0004	-12.399861	-38.758861
BAAAE_0003	-14.648028	-41.078472
ACRBO_0125	-9.870083	-67.912028
ACRBO_0112	-9.99725	-67.80638
ACRBO_0113	-9.97083	-67.8164
ACRBO_0116	-9.97669	-67.86836
SPADD_0001	-20.895944	-51.375611
SPARC_0002	-21.188944	-50.455889
SPARC_0004	-21.20625	-50.463611
SPARC_0001	-21.206417	-50.434944
SPAAS_0001	-22.437583	-47.394889
SPAAS_0002	-22.263278	-47.390528
SPAAS_0005	-22.369667	-47.38925
SPAAS_0003	-22.358028	-47.384167
SPARL_0002	-22.675944	-48.686972
SPASI_0003	-22.650278	-50.423778
SPASI_0001	-22.658583	-50.411444
PIALD_0001	-6.088667	-42.736222
SCALY_0001	-27.409167	-49.827806
SCASFS0001	-26.883161	-52.857019
SCAGD_0001	-27.688333	-51.127222
SCAIC_0001	-27.501694	-48.754306
SCAPK_0002	-27.059722	-49.390278
SPAAI_0002	-22.093972	-47.01
SPAAI_0003	-22.02425	-46.883278
SPAGL_0002	-22.469889	-46.623389
SPAGL_0001	-22.480278	-46.629667
SPAGS_0001	-22.484361	-48.996306
SPALAM0001	-23.562056	-47.8475
MTAFL_0001	-9.871556	-56.085722
SEAEB_0001	-10.759556	-37.315889
PIAIL_0001	-5.799147	-42.661192
PEABU_0002	-7.916806	-34.898111
SCSOO_0004	-27.609111	-48.647806
PEPLH_0003	-7.919722	-35.047778
